(Declared Winner)","NO
(Declared Loser)",UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,Over Votes,Under Votes,Total,"Error Bound (up) - 
Max. possible relative overstatement for
NO (Loser)",Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,"Selection - 
Batch picked for audit",Times p Drawn - With Replacement
Batch by Type (p),Winning Candidate,Losing Candidate,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Over Votes,Under Votes,Total,Error Bound (up) - Max. possible relative overstatement - Losing Candidate,Error Bound (up) - Max. possible relative overstatement - Candidate 3,Error Bound (up) - Max. possible relative overstatement - Candidate 4,Error Bound (up) - Max. possible relative overstatement - Candidate 5,Error Bound (up) - Max. possible relative overstatement - Candidate 6,Error Bound (up) - Max. possible relative overstatement - Candidate 7,Error Bound (up) - Max. possible relative overstatement - Candidate 8,Error Bound (up) - Max. possible relative overstatement - Candidate 9,Error Bound (up) - Max. possible relative overstatement - Candidate 10,Error Bound (up) - Max. possible relative overstatement - Candidate 11,Error Bound (up) - Max. possible relative overstatement - Candidate 12,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,Selection - Batch picked for audit,Times p Drawn - With Replacement
1403 CIN 14-C   (AV),89,15,,,,,,,,,,,0,2,106,0.002084395,0,0,0,0,0,0,0,0,0,0,0.002084395,0.000479863, 0.07 ,06644 - 06691,6644.237511,46.98630791,6691.223819,,0
1404 CIN 14-D   (AV),297,31,,,,,,,,,,,0,6,334,0.006947983,0,0,0,0,0,0,0,0,0,0,0.006947983,0.001599544, 0.07 ,06692 - 06851,6692.223819,158.9543597,6851.178178,,0
1405 CIN 14-E   (AV),230,25,,,,,,,,,,,0,2,257,0.005349947,0,0,0,0,0,0,0,0,0,0,0.005349947,0.001231649, 0.07 ,06852 - 06974,6852.178178,122.164857,6974.343035,,0
1406 CIN 14-F   (AV),189,19,,,,,,,,,,,0,2,210,0.004400389,0,0,0,0,0,0,0,0,0,0,0.004400389,0.001013044, 0.07 ,06975 - 07076,6975.343035,100.3044278,7075.647463,,0
1407 CIN 14-G   (AV),165,24,,,,,,,,,,,0,2,191,0.00384455,0,0,0,0,0,0,0,0,0,0,0.00384455,0.000885081, 0.07 ,07077 - 07164,7076.647463,87.50807903,7164.155542,,0
1408 CIN 14-H   (AV),206,24,,,,,,,,,,,0,1,231,0.004782528,0,0,0,0,0,0,0,0,0,0,0.004782528,0.001101019, 0.07 ,07165 - 07274,7165.155542,109.1019176,7274.25746,,0
1409 CIN 14-I   (AV),216,21,,,,,,,,,,,0,3,240,0.005037288,0,0,0,0,0,0,0,0,0,0,0.005037288,0.001159669, 0.07 ,07275 - 07390,7275.25746,114.9669108,7390.224371,,0
1501 CIN 15-A   (AV),166,9,,,,,,,,,,,0,0,175,0.00384455,0,0,0,0,0,0,0,0,0,0,0.00384455,0.000885081, 0.07 ,07391 - 07479,7391.224371,87.50807903,7478.73245,,0
1502 CIN 15-B   (AV),205,21,,,,,,,,,,,0,1,227,0.004759368,0,0,0,0,0,0,0,0,0,0,0.004759368,0.001095687, 0.08 ,07480 - 07588,7479.73245,108.5687364,7588.301186,,0
1503 CIN 15-C   (AV),41,6,,,,,,,,,,,0,1,48,0.000961138,0,0,0,0,0,0,0,0,0,0,0.000961138,0.00022127, 0.08 ,07589 - 07610,7589.301186,21.12701976,7610.428206,,0
1504 CIN 15-D   (AV),90,11,,,,,,,,,,,0,1,102,0.002095975,0,0,0,0,0,0,0,0,0,0,0.002095975,0.000482529, 0.08 ,07611 - 07659,7611.428206,47.25289851,7658.681104,,0
1505 CIN 15-E   (AV),207,14,,,,,,,,,,,0,1,222,0.004805688,0,0,0,0,0,0,0,0,0,0,0.004805688,0.001106351, 0.08 ,07660 - 07769,7659.681104,109.6350988,7769.316203,,0
1506 CIN 15-F   (AV),186,28,,,,,,,,,,,2,1,217,0.004342489,0,0,0,0,0,0,0,0,0,0,0.004342489,0.000999715, 0.08 ,07770 - 07869,7770.316203,98.97147481,7869.287678,,0
1507 CIN 15-G   (AV),106,9,,,,,,,,,,,0,1,116,0.002466534,0,0,0,0,0,0,0,0,0,0,0.002466534,0.000567838, 0.08 ,07870 - 07926,7870.287678,55.78379769,7926.071476,,0
1508 CIN 15-H   (AV),238,27,,,,,,,,,,,0,2,267,0.005535226,0,0,0,0,0,0,0,0,0,0,0.005535226,0.001274303, 0.08 ,07927 - 08054,7927.071476,126.4303066,8053.501782,,0
1509 CIN 15-I   (AV),159,10,,,,,,,,,,,0,2,171,0.003705591,0,0,0,0,0,0,0,0,0,0,0.003705591,0.00085309, 0.08 ,08055 - 08139,8054.501782,84.30899183,8138.810774,,0
1510 CIN 15-J   (AV),53,5,,,,,,,,,,,0,1,59,0.001239057,0,0,0,0,0,0,0,0,0,0,0.001239057,0.000285252, 0.08 ,08140 - 08167,8139.810774,27.52519414,8167.335968,,0
1601 CIN 16-A   (AV),67,9,,,,,,,,,,,0,0,76,0.001551716,0,0,0,0,0,0,0,0,0,0,0.001551716,0.000357231, 0.08 ,08168 - 08203,8168.335968,34.72314033,8203.059108,,0
1701 CIN 17-A   (AV),51,5,,,,,,,,,,,0,0,56,0.001181157,0,0,0,0,0,0,0,0,0,0,0.001181157,0.000271922, 0.08 ,08204 - 08230,8204.059108,26.19224115,8230.25135,,0
1702 CIN 17-B   (AV),125,11,,,,,,,,,,,0,1,137,0.002906573,0,0,0,0,0,0,0,0,0,0,0.002906573,0.000669142, 0.08 ,08231 - 08297,8231.25135,65.91424047,8297.16559,,0
1703 CIN 17-C   (AV),64,6,,,,,,,,,,,0,0,70,0.001482236,0,0,0,0,0,0,0,0,0,0,0.001482236,0.000341236, 0.08 ,08298 - 08331,8298.16559,33.12359673,8331.289187,,0
1801 CIN 18-A   (AV),46,4,,,,,,,,,,,0,1,51,0.001076937,0,0,0,0,0,0,0,0,0,0,0.001076937,0.000247929, 0.08 ,08332 - 08356,8332.289187,23.79292575,8356.082113,,0
1802 CIN 18-B   (AV),13,0,,,,,,,,,,,0,0,13,0.000301079,0,0,0,0,0,0,0,0,0,0,0.000301079,6.93136E-05, 0.08 ,08357 - 08363,8357.082113,5.931355587,8363.013468,,0
1901 CIN 19-A   (AV),29,17,,,,,,,,,,,0,2,48,0.000694798,0,0,0,0,0,0,0,0,0,0,0.000694798,0.000159954, 0.08 ,08364 - 08379,8364.013468,14.99543597,8379.008904,,0
1902 CIN 19-B   (AV),37,28,,,,,,,,,,,0,0,65,0.000856918,0,0,0,0,0,0,0,0,0,0,0.000856918,0.000197277, 0.08 ,08380 - 08399,8380.008904,18.72770436,8398.736608,,0
1903 CIN 19-C   (AV),58,26,,,,,,,,,,,0,0,84,0.001343277,0,0,0,0,0,0,0,0,0,0,0.001343277,0.000309245, 0.08 ,08400 - 08430,8399.736608,29.92450954,8429.661118,,0
1904 CIN 19-D   (AV),3,1,,,,,,,,,,,0,0,4,6.94798E-05,0,0,0,0,0,0,0,0,0,0,6.94798E-05,1.59954E-05, 0.08 ,08431 - 08431,8430.661118,0.599543597,8431.260662,,0
2001 CIN 20-A   (AV),48,6,,,,,,,,,,,0,0,54,0.001111677,0,0,0,0,0,0,0,0,0,0,0.001111677,0.000255927, 0.08 ,08432 - 08457,8432.260662,24.59269755,8456.853359,,0
2002 CIN 20-B   (AV),34,8,,,,,,,,,,,0,0,42,0.000787438,0,0,0,0,0,0,0,0,0,0,0.000787438,0.000181282, 0.08 ,08458 - 08475,8457.853359,17.12816076,8474.98152,,0
2003 CIN 20-C   (AV),87,24,,,,,,,,,,,0,0,111,0.002014915,0,0,0,0,0,0,0,0,0,0,0.002014915,0.000463868, 0.09 ,08476 - 08521,8475.98152,45.38676431,8521.368284,,0
2004 CIN 20-D   (AV),87,13,,,,,,,,,,,0,1,101,0.002026495,0,0,0,0,0,0,0,0,0,0,0.002026495,0.000466534, 0.09 ,08522 - 08568,8522.368284,45.65335491,8568.021639,,0
2005 CIN 20-E   (AV),27,4,,,,,,,,,,,0,0,31,0.000625318,0,0,0,0,0,0,0,0,0,0,0.000625318,0.000143959, 0.09 ,08569 - 08582,8569.021639,13.39589237,8582.417532,,0
2101 CIN 21-A   (AV),31,11,,,,,,,,,,,0,0,42,0.000717958,0,0,0,0,0,0,0,0,0,0,0.000717958,0.000165286, 0.09 ,08583 - 08599,8583.417532,15.52861717,8598.946149,,0
2102 CIN 21-B   (AV),15,10,,,,,,,,,,,0,1,26,0.000358979,0,0,0,0,0,0,0,0,0,0,0.000358979,8.26431E-05, 0.09 ,08600 - 08607,8599.946149,7.264308584,8607.210457,,0
2103 CIN 21-C   (AV),36,12,,,,,,,,,,,0,0,48,0.000833758,0,0,0,0,0,0,0,0,0,0,0.000833758,0.000191945, 0.09 ,08608 - 08626,8608.210457,18.19452316,8626.40498,,0
2104 CIN 21-D   (AV),22,14,,,,,,,,,,,0,0,36,0.000509519,0,0,0,0,0,0,0,0,0,0,0.000509519,0.0001173, 0.09 ,08627 - 08638,8627.40498,10.72998638,8638.134967,,0
2105 CIN 21-E   (AV),19,2,,,,,,,,,,,0,0,21,0.000440039,0,0,0,0,0,0,0,0,0,0,0.000440039,0.000101304, 0.09 ,08639 - 08648,8639.134967,9.13044278,8648.26541,,0
2201 CIN 22-A   (AV),158,8,,,,,,,,,,,0,1,167,0.003670851,0,0,0,0,0,0,0,0,0,0,0.003670851,0.000845092, 0.09 ,08649 - 08733,8649.26541,83.50922004,8732.77463,,0
2202 CIN 22-B   (AV),53,3,,,,,,,,,,,0,0,56,0.001227477,0,0,0,0,0,0,0,0,0,0,0.001227477,0.000282586, 0.09 ,08734 - 08761,8733.77463,27.25860355,8761.033233,,0
2203 CIN 22-C   (AV),38,2,,,,,,,,,,,0,2,42,0.000903238,0,0,0,0,0,0,0,0,0,0,0.000903238,0.000207941, 0.09 ,08762 - 08782,8762.033233,19.79406676,8781.8273,,0
2301 CIN 23-A   (AV),214,19,,,,,,,,,,,0,1,234,0.004967808,0,0,0,0,0,0,0,0,0,0,0.004967808,0.001143674, 0.09 ,08783 - 08896,8782.8273,113.3673672,8896.194667,,0
2302 CIN 23-B   (AV),59,8,,,,,,,,,,,0,1,68,0.001378017,0,0,0,0,0,0,0,0,0,0,0.001378017,0.000317243, 0.09 ,08897 - 08928,8897.194667,30.72428134,8927.918948,,0
2303 CIN 23-C   (AV),155,13,,,,,,,,,,,0,1,169,0.003601371,0,0,0,0,0,0,0,0,0,0,0.003601371,0.000829097, 0.09 ,08929 - 09011,8928.918948,81.90967644,9010.828625,,0
2304 CIN 23-D   (AV),175,8,,,,,,,,,,,0,0,183,0.00405299,0,0,0,0,0,0,0,0,0,0,0.00405299,0.000933067, 0.09 ,09012 - 09104,9011.828625,92.30670982,9104.135335,4,1
2305 CIN 23-E   (AV),80,10,,,,,,,,,,,0,0,90,0.001852795,0,0,0,0,0,0,0,0,0,0,0.001852795,0.000426545, 0.09 ,09105 - 09147,9105.135335,41.65449592,9146.789831,,0
2306 CIN 23-F   (AV),99,21,,,,,,,,,,,0,2,122,0.002315994,0,0,0,0,0,0,0,0,0,0,0.002315994,0.000533181, 0.09 ,09148 - 09200,9147.789831,52.3181199,9200.107951,,0
2307 CIN 23-G   (AV),41,1,,,,,,,,,,,0,1,43,0.000961138,0,0,0,0,0,0,0,0,0,0,0.000961138,0.00022127, 0.09 ,09201 - 09222,9201.107951,21.12701976,9222.23497,,0
2308 CIN 23-H   (AV),152,28,,,,,,,,,,,0,0,180,0.003520311,0,0,0,0,0,0,0,0,0,0,0.003520311,0.000810435, 0.09 ,09223 - 09303,9223.23497,80.04354224,9303.278513,,0
2309 CIN 23-I   (AV),117,32,,,,,,,,,,,0,1,150,0.002721293,0,0,0,0,0,0,0,0,0,0,0.002721293,0.000626488, 0.09 ,09304 - 09366,9304.278513,61.64879088,9365.927303,,0
2310 CIN 23-J   (AV),89,37,,,,,,,,,,,0,2,128,0.002084395,0,0,0,0,0,0,0,0,0,0,0.002084395,0.000479863, 0.09 ,09367 - 09414,9366.927303,46.98630791,9413.913611,,0
2311 CIN 23-K   (AV),200,22,,,,,,,,,,,0,1,223,0.004643568,0,0,0,0,0,0,0,0,0,0,0.004643568,0.001069028, 0.10 ,09415 - 09521,9414.913611,105.9028304,9520.816442,,0
2312 CIN 23-L   (AV),26,7,,,,,,,,,,,0,3,36,0.000636898,0,0,0,0,0,0,0,0,0,0,0.000636898,0.000146625, 0.10 ,09522 - 09535,9521.816442,13.66248297,9535.478925,,0
2313 CIN 23-M   (AV),110,26,,,,,,,,,,,0,5,141,0.002605494,0,0,0,0,0,0,0,0,0,0,0.002605494,0.000599829, 0.10 ,09536 - 09595,9536.478925,58.98288488,9595.46181,,0
2314 CIN 23-N   (AV),114,37,,,,,,,,,,,0,0,151,0.002640233,0,0,0,0,0,0,0,0,0,0,0.002640233,0.000607827, 0.10 ,09596 - 09656,9596.46181,59.78265668,9656.244466,,0
2315 CIN 23-O   (AV),137,32,,,,,,,,,,,0,0,169,0.003172912,0,0,0,0,0,0,0,0,0,0,0.003172912,0.000730458, 0.10 ,09657 - 09729,9657.244466,72.04582426,9729.290291,,0
2316 CIN 23-P   (AV),108,33,,,,,,,,,,,0,0,141,0.002501274,0,0,0,0,0,0,0,0,0,0,0.002501274,0.000575836, 0.10 ,09730 - 09787,9730.290291,56.58356949,9786.87386,,0
2317 CIN 23-Q   (AV),116,57,,,,,,,,,,,0,5,178,0.002744453,0,0,0,0,0,0,0,0,0,0,0.002744453,0.00063182, 0.10 ,09788 - 09850,9787.87386,62.18197208,9850.055832,,0
2318 CIN 23-R   (AV),61,11,,,,,,,,,,,0,0,72,0.001412756,0,0,0,0,0,0,0,0,0,0,0.001412756,0.000325241, 0.10 ,09851 - 09883,9851.055832,31.52405314,9882.579885,,0
2401 CIN 24-A   (AV),147,22,,,,,,,,,,,0,3,172,0.003439251,0,0,0,0,0,0,0,0,0,0,0.003439251,0.000791774, 0.10 ,09884 - 09962,9883.579885,78.17740805,9961.757293,,0
2402 CIN 24-B   (AV),96,9,,,,,,,,,,,0,1,106,0.002234934,0,0,0,0,0,0,0,0,0,0,0.002234934,0.00051452, 0.10 ,09963 - 10013,9962.757293,50.4519857,10013.20928,,0
2403 CIN 24-C   (AV),89,28,,,,,,,,,,,0,0,117,0.002061235,0,0,0,0,0,0,0,0,0,0,0.002061235,0.000474531, 0.10 ,10014 - 10061,10014.20928,46.45312671,10060.66241,,0
2404 CIN 24-D   (AV),94,13,,,,,,,,,,,0,2,109,0.002200195,0,0,0,0,0,0,0,0,0,0,0.002200195,0.000506522, 0.10 ,10062 - 10111,10061.66241,49.6522139,10111.31462,,0
2405 CIN 24-E   (AV),4,2,,,,,,,,,,,0,0,6,9.26398E-05,0,0,0,0,0,0,0,0,0,0,9.26398E-05,2.13272E-05, 0.10 ,10112 - 10113,10112.31462,1.132724796,10113.44734,,0
2406 CIN 24-F   (AV),109,11,,,,,,,,,,,0,2,122,0.002547594,0,0,0,0,0,0,0,0,0,0,0.002547594,0.000586499, 0.10 ,10114 - 10172,10114.44734,57.64993189,10172.09728,,0
2407 CIN 24-G   (AV),83,29,,,,,,,,,,,0,0,112,0.001922275,0,0,0,0,0,0,0,0,0,0,0.001922275,0.00044254, 0.10 ,10173 - 10216,10173.09728,43.25403951,10216.35132,,0
2408 CIN 24-H   (AV),4,0,,,,,,,,,,,0,0,4,9.26398E-05,0,0,0,0,0,0,0,0,0,0,9.26398E-05,2.13272E-05, 0.10 ,10217 - 10218,10217.35132,1.132724796,10218.48404,,0
2409 CIN 24-I   (AV),3,0,,,,,,,,,,,0,0,3,6.94798E-05,0,0,0,0,0,0,0,0,0,0,6.94798E-05,1.59954E-05, 0.10 ,10219 - 10220,10219.48404,0.599543597,10220.08358,,0
2501 CIN 25-A   (AV),66,6,,,,,,,,,,,0,1,73,0.001540136,0,0,0,0,0,0,0,0,0,0,0.001540136,0.000354565, 0.10 ,10221 - 10256,10221.08358,34.45654973,10255.54013,,0
2502 CIN 25-B   (AV),33,18,,,,,,,,,,,0,1,52,0.000775858,0,0,0,0,0,0,0,0,0,0,0.000775858,0.000178616, 0.10 ,10257 - 10273,10256.54013,16.86157017,10273.4017,,0
2503 CIN 25-C   (AV),49,27,,,,,,,,,,,0,1,77,0.001146417,0,0,0,0,0,0,0,0,0,0,0.001146417,0.000263925, 0.10 ,10274 - 10300,10274.4017,25.39246935,10299.79417,,0
2504 CIN 25-D   (AV),36,33,,,,,,,,,,,0,1,70,0.000845338,0,0,0,0,0,0,0,0,0,0,0.000845338,0.000194611, 0.10 ,10301 - 10319,10300.79417,18.46111376,10319.25529,,0
2505 CIN 25-E   (AV),68,12,,,,,,,,,,,0,2,82,0.001598036,0,0,0,0,0,0,0,0,0,0,0.001598036,0.000367895, 0.10 ,10320 - 10356,10320.25529,35.78950273,10356.04479,,0
2506 CIN 25-F   (AV),59,26,,,,,,,,,,,0,0,85,0.001366437,0,0,0,0,0,0,0,0,0,0,0.001366437,0.000314577, 0.10 ,10357 - 10388,10357.04479,30.45769074,10387.50248,,0
2507 CIN 25-G   (AV),28,3,,,,,,,,,,,0,1,32,0.000660058,0,0,0,0,0,0,0,0,0,0,0.000660058,0.000151957, 0.10 ,10389 - 10403,10388.50248,14.19566417,10402.69814,,0
2508 CIN 25-H   (AV),58,14,,,,,,,,,,,0,2,74,0.001366437,0,0,0,0,0,0,0,0,0,0,0.001366437,0.000314577, 0.10 ,10404 - 10434,10403.69814,30.45769074,10434.15584,,0
2509 CIN 25-I   (AV),43,14,,,,,,,,,,,0,0,57,0.000995878,0,0,0,0,0,0,0,0,0,0,0.000995878,0.000229268, 0.10 ,10435 - 10457,10435.15584,21.92679156,10457.08263,,0
2510 CIN 25-J   (AV),50,27,,,,,,,,,,,0,2,79,0.001181157,0,0,0,0,0,0,0,0,0,0,0.001181157,0.000271922, 0.10 ,10458 - 10484,10458.08263,26.19224115,10484.27487,,0
2511 CIN 25-K   (AV),49,16,,,,,,,,,,,0,0,65,0.001134837,0,0,0,0,0,0,0,0,0,0,0.001134837,0.000261259, 0.11 ,10485 - 10510,10485.27487,25.12587875,10510.40075,,0
2512 CIN 25-L   (AV),22,1,,,,,,,,,,,0,0,23,0.000509519,0,0,0,0,0,0,0,0,0,0,0.000509519,0.0001173, 0.11 ,10511 - 10522,10511.40075,10.72998638,10522.13073,,0
2601 CIN 26-A   (AV),98,39,,,,,,,,,,,0,3,140,0.002304414,0,0,0,0,0,0,0,0,0,0,0.002304414,0.000530515, 0.11 ,10523 - 10575,10523.13073,52.0515293,10575.18226,,0
2602 CIN 26-B   (AV),78,14,,,,,,,,,,,0,2,94,0.001829635,0,0,0,0,0,0,0,0,0,0,0.001829635,0.000421213, 0.11 ,10576 - 10617,10576.18226,41.12131472,10617.30358,,0
2603 CIN 26-C   (AV),29,4,,,,,,,,,,,0,0,33,0.000671638,0,0,0,0,0,0,0,0,0,0,0.000671638,0.000154623, 0.11 ,10618 - 10633,10618.30358,14.46225477,10632.76583,,0
2604 CIN 26-D   (AV),33,8,,,,,,,,,,,0,1,42,0.000775858,0,0,0,0,0,0,0,0,0,0,0.000775858,0.000178616, 0.11 ,10634 - 10651,10633.76583,16.86157017,10650.6274,,0
2605 CIN 26-E   (AV),61,11,,,,,,,,,,,0,0,72,0.001412756,0,0,0,0,0,0,0,0,0,0,0.001412756,0.000325241, 0.11 ,10652 - 10683,10651.6274,31.52405314,10683.15146,,0
2606 CIN 26-F   (AV),49,8,,,,,,,,,,,0,0,57,0.001134837,0,0,0,0,0,0,0,0,0,0,0.001134837,0.000261259, 0.11 ,10684 - 10709,10684.15146,25.12587875,10709.27733,,0
2607 CIN 26-G   (AV),54,15,,,,,,,,,,,0,0,69,0.001250637,0,0,0,0,0,0,0,0,0,0,0.001250637,0.000287918, 0.11 ,10710 - 10738,10710.27733,27.79178474,10738.06912,1,1
2608 CIN 26-H   (AV),6,2,,,,,,,,,,,0,0,8,0.00013896,0,0,0,0,0,0,0,0,0,0,0.00013896,3.19909E-05, 0.11 ,10739 - 10741,10739.06912,2.199087194,10741.26821,,0
2609 CIN 26-I   (AV),66,21,,,,,,,,,,,0,2,89,0.001551716,0,0,0,0,0,0,0,0,0,0,0.001551716,0.000357231, 0.11 ,10742 - 10777,10742.26821,34.72314033,10776.99135,,0
2610 CIN 26-J   (AV),79,20,,,,,,,,,,,0,0,99,0.001829635,0,0,0,0,0,0,0,0,0,0,0.001829635,0.000421213, 0.11 ,10778 - 10819,10777.99135,41.12131472,10819.11266,,0
2611 CIN 26-K   (AV),55,22,,,,,,,,,,,0,0,77,0.001273797,0,0,0,0,0,0,0,0,0,0,0.001273797,0.00029325, 0.11 ,10820 - 10848,10820.11266,28.32496594,10848.43763,,0
2612 CIN 26-L   (AV),50,12,,,,,,,,,,,0,0,62,0.001157997,0,0,0,0,0,0,0,0,0,0,0.001157997,0.000266591, 0.11 ,10849 - 10875,10849.43763,25.65905995,10875.09669,,0
2613 CIN 26-M   (AV),32,11,,,,,,,,,,,0,0,43,0.000741118,0,0,0,0,0,0,0,0,0,0,0.000741118,0.000170618, 0.11 ,10876 - 10892,10876.09669,16.06179837,10892.15849,,0
2614 CIN 26-N   (AV),57,22,,,,,,,,,,,0,1,80,0.001331697,0,0,0,0,0,0,0,0,0,0,0.001331697,0.000306579, 0.11 ,10893 - 10923,10893.15849,29.65791894,10922.8164,,0
2615 CIN 26-O   (AV),85,16,,,,,,,,,,,0,0,101,0.001968595,0,0,0,0,0,0,0,0,0,0,0.001968595,0.000453204, 0.11 ,10924 - 10968,10923.8164,44.32040191,10968.13681,,0
2616 CIN 26-P   (AV),102,23,,,,,,,,,,,0,3,128,0.002397054,0,0,0,0,0,0,0,0,0,0,0.002397054,0.000551843, 0.11 ,10969 - 11023,10969.13681,54.18425409,11023.32106,,0
2617 CIN 26-Q   (AV),21,6,,,,,,,,,,,0,0,27,0.000486359,0,0,0,0,0,0,0,0,0,0,0.000486359,0.000111968, 0.11 ,11024 - 11035,11024.32106,10.19680518,11034.51787,,0
2618 CIN 26-R   (AV),44,8,,,,,,,,,,,0,0,52,0.001019037,0,0,0,0,0,0,0,0,0,0,0.001019037,0.0002346, 0.11 ,11036 - 11058,11035.51787,22.45997275,11057.97784,,0
2619 CIN 26-S   (AV),46,27,,,,,,,,,,,0,1,74,0.001076937,0,0,0,0,0,0,0,0,0,0,0.001076937,0.000247929, 0.11 ,11059 - 11083,11058.97784,23.79292575,11082.77076,,0
2811 BLUE 1-A   (AV),86,22,,,,,,,,,,,0,0,108,0.001991755,0,0,0,0,0,0,0,0,0,0,0.001991755,0.000458536, 0.11 ,11084 - 11129,11083.77076,44.85358311,11128.62435,,0
2812 BLUE 1-B   (AV),94,16,,,,,,,,,,,0,1,111,0.002188615,0,0,0,0,0,0,0,0,0,0,0.002188615,0.000503856, 0.11 ,11130 - 11179,11129.62435,49.3856233,11179.00997,,0
2821 BLUE 2-A   (AV),70,30,,,,,,,,,,,0,1,101,0.001632776,0,0,0,0,0,0,0,0,0,0,0.001632776,0.000375893, 0.11 ,11180 - 11217,11180.00997,36.58927453,11216.59925,,0
2822 BLUE 2-B   (AV),67,21,,,,,,,,,,,0,0,88,0.001551716,0,0,0,0,0,0,0,0,0,0,0.001551716,0.000357231, 0.11 ,11218 - 11252,11217.59925,34.72314033,11252.32239,,0
2823 BLUE 2-C   (AV),125,33,,,,,,,,,,,0,0,158,0.002894993,0,0,0,0,0,0,0,0,0,0,0.002894993,0.000666476, 0.11 ,11253 - 11319,11253.32239,65.64764987,11318.97004,,0
2831 BLUE 3-A   (AV),144,24,,,,,,,,,,,0,2,170,0.003358192,0,0,0,0,0,0,0,0,0,0,0.003358192,0.000773113, 0.11 ,11320 - 11396,11319.97004,76.31127385,11396.28131,,0
2832 BLUE 3-B   (AV),118,18,,,,,,,,,,,0,0,136,0.002732873,0,0,0,0,0,0,0,0,0,0,0.002732873,0.000629154, 0.11 ,11397 - 11459,11397.28131,61.91538148,11459.19669,,0
2841 BLUE 4-A   (AV),51,18,,,,,,,,,,,0,0,69,0.001181157,0,0,0,0,0,0,0,0,0,0,0.001181157,0.000271922, 0.11 ,11460 - 11486,11460.19669,26.19224115,11486.38893,,0
2842 BLUE 4-B   (AV),78,26,,,,,,,,,,,0,0,104,0.001806476,0,0,0,0,0,0,0,0,0,0,0.001806476,0.000415881, 0.12 ,11487 - 11528,11487.38893,40.58813352,11527.97707,,0
2851 BLUE 5-A   (AV),187,35,,,,,,,,,,,0,1,223,0.004342489,0,0,0,0,0,0,0,0,0,0,0.004342489,0.000999715, 0.12 ,11529 - 11628,11528.97707,98.97147481,11627.94854,,0
2852 BLUE 5-B   (AV),100,26,,,,,,,,,,,0,1,127,0.002327574,0,0,0,0,0,0,0,0,0,0,0.002327574,0.000535847, 0.12 ,11629 - 11682,11628.94854,52.5847105,11681.53325,,0
2911 CHEV 1-A   (AV),58,34,,,,,,,,,,,0,8,100,0.001435916,0,0,0,0,0,0,0,0,0,0,0.001435916,0.000330572, 0.12 ,11683 - 11715,11682.53325,32.05723434,11714.59048,,0
2921 CHEV 2-A   (AV),48,25,,,,,,,,,,,0,2,75,0.001134837,0,0,0,0,0,0,0,0,0,0,0.001134837,0.000261259, 0.12 ,11716 - 11741,11715.59048,25.12587875,11740.71636,,0
2931 CHEV 3-A   (AV),59,18,,,,,,,,,,,0,1,78,0.001378017,0,0,0,0,0,0,0,0,0,0,0.001378017,0.000317243, 0.12 ,11742 - 11772,11741.71636,30.72428134,11772.44064,,0
2941 CHEV 4-A   (AV),86,35,,,,,,,,,,,0,2,123,0.002014915,0,0,0,0,0,0,0,0,0,0,0.002014915,0.000463868, 0.12 ,11773 - 11819,11773.44064,45.38676431,11818.82741,,0
3111 DR PK 1-A   (AV),77,24,,,,,,,,,,,0,0,101,0.001783316,0,0,0,0,0,0,0,0,0,0,0.001783316,0.00041055, 0.12 ,11820 - 11860,11819.82741,40.05495232,11859.88236,,0
3121 DR PK 2-A   (AV),69,21,,,,,,,,,,,0,0,90,0.001598036,0,0,0,0,0,0,0,0,0,0,0.001598036,0.000367895, 0.12 ,11861 - 11897,11860.88236,35.78950273,11896.67186,,0
3131 DR PK 3-A   (AV),76,18,,,,,,,,,,,0,1,95,0.001771736,0,0,0,0,0,0,0,0,0,0,0.001771736,0.000407884, 0.12 ,11898 - 11937,11897.67186,39.78836172,11937.46023,,0
3141 DR PK 4-A   (AV),85,31,,,,,,,,,,,0,0,116,0.001968595,0,0,0,0,0,0,0,0,0,0,0.001968595,0.000453204, 0.12 ,11938 - 11983,11938.46023,44.32040191,11982.78063,,0
3201 FR PK A   (AV),36,5,,,,,,,,,,,0,1,42,0.000845338,0,0,0,0,0,0,0,0,0,0,0.000845338,0.000194611, 0.12 ,11984 - 12002,11983.78063,18.46111376,12002.24174,,0
3202 FR PK B   (AV),51,11,,,,,,,,,,,0,1,63,0.001192737,0,0,0,0,0,0,0,0,0,0,0.001192737,0.000274588, 0.12 ,12003 - 12030,12003.24174,26.45883175,12029.70057,,0
